Title, Location , Website , Phone number
Muebles UK,32 Long Ln' Blackheath' Halesowen B62 9LS' United Kingdom,mueblesuk.com,+44 121 559 8942
Christies Furniture Exeter,2' 3 Grace Rd W' Marsh Barton' Exeter EX2 8PU' United Kingdom,christiesexeter.co.uk,+44 1392 908333
K FURNITURE CO LTD,281-283 Cricklewood Broadway' London NW2 6NX' United Kingdom,kfurniture.co.uk,+44 20 8438 8883
Reynolds Furniture,27-31 High St' Bognor Regis PO21 1RR' United Kingdom,reynoldsfurniture.co.uk,+44 1243 871200
Belgica Furniture,Grangemouth Rd' Bo'ness EH51 0PU' United Kingdom,belgicafurniture.com,+44 1506 829447
Rose and Grey,31 Atlantic St' Broadheath' Altrincham WA14 5FA' United Kingdom,roseandgrey.co.uk,+44 161 926 8763
Chiltern Oak Furniture Store,Chowns Mill Business Park' Station Rd' Irthlingborough' Wellingborough NN9 5QQ' United Kingdom,chilternoakfurniture.co.uk,+44 1733 592035
Moon Furniture,Moon Retail Park' Roch Valley Way' Rochdale OL11 4QN' United Kingdom,moonfurniture.co.uk,+44 1706 860085
CMS Furniture & Beds Limited,Unit 2 Welton Rd' Bromborough' Birkenhead' Wirral CH62 3PQ' United Kingdom,cmsfb.co.uk,+44 151 245 2153
BF Home,111 Barker St' Norwich NR2 4TQ' United Kingdom,bfhome.co.uk,+44 1603 762081
Heal's,196 Tottenham Ct Rd' London W1T 7LQ' United Kingdom,heals.com,+44 20 7636 1666
Lawton's Furniture,Pool St' Birkenhead CH41 3NL' United Kingdom,lawtonsfurniture.co.uk,+44 151 666 1269
Lifestyle Furniture,Unit 6 Smithfold Ln' Little Hulton' Worsley' Manchester M28 0GP' United Kingdom,lifestylefurniture.co.uk,+44 333 332 6611
Home Design,112 Castle View' Castletown' Sunderland SR5 3AJ' United Kingdom,homedesign.co.uk,+44 191 548 4187
The Conran Shop,81 Fulham Rd.' London SW3 6RD' United Kingdom,conranshop.co.uk,Not specified
Lavish Home,229-233 Lord St' Southport PR8 1PE' United Kingdom,lavishhome.co.uk,+44 1704 530630
OKA Chelsea,155-167 Fulham Rd.' London SW3 6SN' United Kingdom,oka.com,+44 20 7581 2574
At Home Furnishings,South Side Retail Park' Portrack Ln' Stockton-on-Tees TS18 2TA' United Kingdom,athomefurnishings.co.uk,+44 1642 607912
Elegant Furniture UK Limited,Unit 5' Albert Edward House' The Pavilions' Ashton-on-Ribble' Preston PR2 2YB' United Kingdom,elegantfurnitureuk.co.uk,+44 1772 203854
Midfurn,Unit 8' Arden Business Centre' Arden Rd' Alcester B49 6HW' United Kingdom,midfurn.co.uk,Not specified
The Furniture Superstore,Armstrong Industrial Estate' 26 Elswick Rd' Armstrong' Washington NE37 1LH' United Kingdom,furniture-superstore.co.uk,+44 191 417 7689
Reeds Homestore,Nelson House' Bridge St' Downham Market PE38 9DS' United Kingdom,reedshomestore.co.uk,+44 1366 382213
Roomes Furniture & Interiors,22-24 Station Rd' Upminster RM14 2UB' United Kingdom,roomes.co.uk,+44 1708 255300
Style Furniture,Louth Rd' Fotherby' Louth LN11 0TD' United Kingdom,stylefurniture.co.uk,+44 1507 601510
Peter Green Furnishers,School Ln' Chandler's Ford' Eastleigh SO53 4DG' United Kingdom,petergreen.co.uk,Not specified
Comfort Store,Naval Mansions' Ferryhill Rd' Inverkeithing KY11 1HD' United Kingdom,thecomfortstore.co.uk,+44 1383 419500
The Top Drawer,1-3 Colvilles Pl' East Kilbride' Glasgow G75 0PZ' United Kingdom,thetopdraweruk.co.uk,+44 1355 220594
Vale Furnishers,35-42 East St' Farnham GU9 7SW' United Kingdom,valefurnishers.co.uk,+44 1252 325525
Delcor Furniture Northumberland,Double Row' Delcor' Double Row' Seaton Delaval' Whitley Bay NE25 0PR' United Kingdom,delcor.co.uk,+44 191 237 1303
Age UK Milton Keynes,6 Burners Ln' Kiln Farm' Milton Keynes MK11 3HB' United Kingdom,ageuk.org.uk,+44 1908 263838
SCP,135-139 Curtain Rd' London EC2A 3BX' United Kingdom,scp.co.uk,+44 20 7739 1869
Hunter Furnishing,3 Boundary Rd' Heathfield' Ayr KA8 9DJ' United Kingdom,hunter-furnishing.co.uk,+44 1292 266356
Ward Brothers Furniture,29 - 40 Waterdale' Doncaster DN1 3EY' United Kingdom,wardbrothers.co.uk,+44 1302 811911
Hafren Furnishers,Llangurig Rd' Llanidloes SY18 6ES' United Kingdom,hafrenfurnishers.co.uk,+44 1686 414000
Redbrick Mill,218 Bradford Rd' Batley WF17 6JL' United Kingdom,redbrickmill.co.uk,+44 1924 460044
Stokers Fine Furniture,Sealand Rd' Chester CH1 4LT' United Kingdom,stokers.co.uk,+44 1244 398777
Swivel UK,1D Shelford Pl' London N16 9HS' United Kingdom,swiveluk.com,+44 20 7100 7454
Fisher Direct Furniture,Unit 1' 5 Callander Rd' Ayr' Prestwick KA8 9AF' United Kingdom,fisherdirect.co.uk,+44 1292 285577
Studio One Furniture,71 Morningside Rd' Edinburgh EH10 4AY' United Kingdom,studioonefurniture.co.uk,+44 131 447 2179
House of Oak,195 Wakefield Rd' Scissett' Huddersfield HD8 9JL' United Kingdom,houseofoak.co.uk,+44 1484 865042
The Furn Shop,CFS of Leicester Ltd' Grosvenor House' Grosvenor St' Leicester LE1 3HT' United Kingdom,Website Not Working,Not specified
Indigo Home & Gift,Units 7&8' croft trade park' Welton Rd' Bromborough' Birkenhead' Wirral CH62 3PQ' United Kingdom,bestfurnitureonline.co.uk,+44 151 334 0002
Eyres Of Worksop Ltd,Market Place' 12 Park St' Worksop S80 1HD' United Kingdom,eyresfurniture.co.uk,+44 1909 473461
Oliver Matthews,39-41 High St' Potters Bar EN6 5AJ' United Kingdom,omfurniture.co.uk,Not specified
Essential Interiors,87 Carolgate' Retford DN22 6EH' United Kingdom,Not specified,8395+RG Retford, United Kingdom
Home Discount Ltd,Dawson Ln' Bradford BD4 6HN' United Kingdom,homediscount.co.uk,Not specified
The Furniture Group,Unit 10 Sarsfield Road' Perivale' Greenford UB6 7AB' United Kingdom,Not specified,GMPP+H2 Greenford, United Kingdom
Age UK Leicester Shire & Rutland,6-7 Johns Ct' Blaby' Leicester LE8 4DJ' United Kingdom,ageuk.org.uk,+44 116 278 1208
Hampton & McMurray,134 Renfrew St' Glasgow G3 6ST' United Kingdom,hamptonmcmurray.co.uk,Not specified
Edinburgh Furniture Initiative,454 Gorgie Rd' Edinburgh EH11 2RN' United Kingdom,foursquare.org.uk,Not specified
LOFT,227 Ayres Rd' Old Trafford' Stretford' Manchester M16 0WQ' United Kingdom,loft.co.uk,+44 161 872 2363
Naz's Furniture,257 -259 Linthorpe Rd' Middlesbrough TS1 4AP' United Kingdom,nazsfurniture.co.uk,+44 1642 241787
Luxury Furniture Ltd,17 Mortimer Rd' London E6 3QP' United Kingdom,Not specified,G3F4+V9 London, United Kingdom
Home Furniture Scotland,Craig O Loch Rd' Forfar DD8 1BT' United Kingdom,homefurniturescotland.co.uk,+44 1307 460198
The Home Company,High Corn Mill' Chapel Hill' Skipton BD23 1NL' United Kingdom,thehomecompany.co.uk,+44 1756 794999
Love Living,300 Idle Rd' Eccleshill' Bradford BD2 2AL' United Kingdom,lovelivinguk.co.uk,+44 1274 635113
Liv's,32-34 Mill Ln' Solihull B91 3BA' United Kingdom,livs.co.uk,Not specified
Rooms For All,37 Micklegate' Selby YO8 4EA' United Kingdom,roomsforall.co.uk,+44 1757 700704
JB Mclean Interiors,27 Roseburn St' Edinburgh EH12 5PE' United Kingdom,jbmcleaninteriors.co.uk,+44 131 313 0333
Really Well Made,Unit 1 Michael Manley Industrial Estate' Clyston St' London SW8 4TU' United Kingdom,reallywellmade.co.uk,+44 20 3726 1120
Exclusive Designs,38 Royal Ave' Belfast BT1 1DD' United Kingdom,Not specified,+44 28 9023 7018
Dining Chairs UK,Little Tennis Street South' Nottingham NG2 4EU' United Kingdom,Website Not Working,+44 115 965 9030
Finishing Touches,23 Wellington St' Stockton-on-Tees TS18 1NA' United Kingdom,finishingtouchesonline.co.uk,Not specified
The Very Thing,38-40 Ormeau Rd' Belfast BT7 2EA' United Kingdom,theverythingbelfast.co.uk,+44 7944 098180
Home Design Furniture,15 Arlington St' St. James's' London SW1A 1LD' United Kingdom,Not specified,GV45+HR London, United Kingdom
Home From Home,33 Sussex Rd' Haywards Heath RH16 4DZ' United Kingdom,homefromhomestore.co.uk,+44 1444 473379
Creations Interiors,45-56 Boucher Cres' Belfast BT12 6HU' United Kingdom,creations-interiors.com,+44 28 9521 5899
Chattels - Furniture,42 City Rd' Chester CH1 3AE' United Kingdom,chattels-designerfurniture.co.uk,+44 1244 322280
Made-Good,Britannia Rd' Slaithwaite' Huddersfield HD7 5HE' United Kingdom,made-good.com,J4C9+QP Huddersfield, United Kingdom
Connection Furniture,Unit 4' AAA Park' Leeds Rd' Mirfield WF14 0DE' United Kingdom,connection.uk.com,+44 1484 600100
Age UK Leicester Shire & Rutland Furniture Warehouse,1 Gladstone St' Leicester LE1 2BN' United Kingdom,ageuk.org.uk,+44 116 251 7633
For The Home,45 Boroughgate' Otley LS21 1AG' United Kingdom,forthehomeoutlet.co.uk,+44 1943 851270
House 2 Home,522 Prescot Rd' Old Swan' Liverpool L13 3DB' United Kingdom,h2hliverpool.co.uk,+44 151 475 6857
MAVEN,Reid Memorial Hall' 4a Maryville Ave' Belfast BT9 7HE' United Kingdom,wearemaven.co.uk,+44 28 9066 5176
All Urban Ltd,Aizlewoods Mill' Sheffield S3 8GG' United Kingdom,allurban.co.uk,Not specified
Interior Home Decor,Slaithwaite Rd' Dewsbury WF12 0AA' United Kingdom,interiorhomedecor.co.uk,+44 1924 460937
Instyle Sofas,Unit 1B' Rannoch Rd' Birkenshaw Trading Estate' Uddingston' Glasgow G71 5PR' United Kingdom,instylesofas.com,+44 1698 801256
IKEA Warrington,910 Europa Blvd' Westbrook' Warrington WA5 7TY' United Kingdom,ikea.com,+44 20 3645 0000
Vintage & Retro,569 South St' Glasgow G14 0QX' United Kingdom,vintageandretrofurniture.com,+44 7803 235651
Rockett St George,Ditchling Common Industrial Estate' 7-12 Old Kiln Works' Hassocks BN6 8SG' United Kingdom,rockettstgeorge.co.uk,Not specified
IKEA Belfast,Holywood Exchange' 306 Airport Rd W' Belfast BT3 9EJ' United Kingdom,ikea.com,+44 20 3645 0000
